N,P,K,temperature,humidity,ph,label
31,130,198,21.80129837,92.73446667,5.554823557,Poor
25,143,200,23.80436344,92.80441624,6.024248787,Poor
16,143,204,23.71475278,91.53331177,5.631333387,Poor
19,122,202,23.34467359,90.37981478,5.811975094,Poor
10,125,196,22.31253665,90.03577124,5.730557448,Poor
20,139,202,23.50201428,92.21083961,5.66999105,Poor
28,123,198,23.46260321,91.45665004,5.682751473,Poor
28,136,200,23.06204373,92.39544055,6.245858905,Poor
2,131,199,22.47420512,91.22759742,6.017370134,Poor
2,140,197,22.69780133,92.82223419,5.53456749,Poor
27,138,201,23.66682067,93.90191078,5.952367662,Poor
30,127,204,22.50050273,92.45878335,6.126436584,Moderate
32,145,203,23.83053666,90.84422164,6.406818518,Moderate
29,139,205,23.64142354,93.74461474,6.155939453,Poor
26,126,195,21.41363812,92.99124545,5.878568981,Poor
40,136,202,22.85267372,94.5764581,5.935336308,Poor
6,124,200,22.98208095,93.84505029,5.971332179,Poor
35,138,200,21.19909519,90.80819418,5.67130617,Poor
17,136,196,23.87192332,90.49939035,5.882155988,Poor
33,134,205,21.0365275,94.33919546,6.08551916,Moderate
16,143,197,22.61711614,93.51978375,5.90402645,Poor
27,120,200,21.45278675,90.74531921,6.110218826,Poor
29,145,205,22.81227579,92.12992101,6.212302608,Poor
3,141,197,21.98141856,91.12719303,6.142803397,Poor
15,123,204,22.52709326,92.54780429,6.365972688,Poor
5,136,195,22.35628673,91.92360477,6.264202804,Poor
10,136,204,21.19852186,92.15595143,6.276198595,Poor
7,141,195,23.8812458,93.45067555,5.514253142,Poor
2,129,201,22.78234161,94.36803516,5.682343744,Poor
29,138,197,22.19055385,92.43764169,5.830892252,Poor
30,137,200,22.91430043,90.70475565,5.603413172,Poor
29,132,204,23.08950736,90.22507299,6.0967531,Poor
14,139,197,21.72484506,92.83975602,6.056529526,Poor
18,125,203,22.44307715,91.59234006,6.160267496,Poor
33,143,204,21.1316077,91.95769858,5.814434775,Poor
40,144,196,22.71750705,92.25479855,5.987262638,Poor
9,143,197,23.75033085,92.88160462,5.570020684,Poor
38,135,203,23.76121837,93.661643,5.965551311,Poor
28,130,196,22.13450646,94.67695747,6.062356467,Poor
35,142,203,21.17089176,90.23730166,5.895319002,Poor
12,129,205,22.36238282,91.15761594,6.119432215,Poor
1,135,203,22.77856513,92.70124029,5.624203283,Poor
0,145,205,21.22503442,90.09877774,5.52078314,Poor
31,121,201,23.15791104,90.34396882,5.731535258,Poor
35,131,203,22.42776057,93.91722423,5.893490899,Poor
29,140,195,23.64082979,90.95257927,5.560521058,Poor
33,138,198,22.29423493,90.69033986,6.222390798,Moderate
14,140,197,23.35225078,90.90054697,6.071255131,Poor
35,145,195,22.03911546,94.58075845,6.231950009,Moderate
40,120,197,23.80593812,92.48879468,5.889480679,Poor
25,132,198,22.31944084,90.85174383,5.732757516,Poor
31,137,196,22.14464104,93.82567435,6.400321212,Moderate
36,144,196,23.65167552,94.50528753,6.496934492,Moderate
10,140,197,22.16939473,90.27185592,6.229498836,Poor
91,94,46,29.36792366,76.24900101,6.149934034,Poor
105,95,50,27.33368994,83.67675197,5.849076099,Poor
108,92,53,27.40053601,82.96221306,6.276800323,Poor
86,76,54,29.3159075,80.11585705,5.926824754,Poor
80,77,49,26.05433004,79.39654531,5.519088423,Poor
93,94,53,25.86632408,84.42379269,6.079178788,Poor
90,92,55,27.00932084,80.18546798,6.13465588,Poor
108,89,53,29.55054817,78.06762846,5.808497604,Poor
108,88,55,26.28845991,83.390039,5.891458107,Poor
105,77,52,29.16226551,76.16151562,5.816622479,Poor
118,88,52,28.65003945,82.68752542,5.843163161,Poor
101,87,54,29.07311132,76.50045221,6.376756633,Poor
95,75,50,28.08166093,75.26429821,5.623615687,Poor
106,85,53,27.1994597,78.8086068,5.91505509,Poor
86,95,49,28.05484146,78.04602887,6.458714879,Poor
83,79,55,25.14748006,83.34688193,5.565028635,Poor
85,95,47,25.94019018,78.3422098,6.211833161,Poor
109,79,45,27.66752761,79.68542782,6.490074429,Poor
100,76,45,25.56703012,75.94067692,5.590236025,Poor
117,86,48,28.6956201,82.54195839,6.225225239,Poor
114,94,53,26.33544853,76.8532006,6.190757459,Poor
110,78,50,25.93730186,78.89864446,5.915568968,Poor
94,70,48,25.13686519,84.88394407,6.195152442,Poor
80,71,47,27.50527651,80.79783998,6.156373499,Poor
114,79,51,26.21009246,82.34429458,6.313197204,Poor
88,78,45,29.10403455,79.19588629,6.324270089,Moderate
112,73,48,29.2440638,77.32017166,5.707488987,Poor
117,76,47,25.56202173,77.38229006,6.119216009,Poor
111,87,48,26.3985515,81.36028902,5.571401169,Poor
89,83,47,28.09577643,77.79586769,5.63127166,Poor
93,91,47,27.84767901,83.31110751,6.101241579,Poor
92,81,52,27.39341554,81.4654833,6.438137279,Poor
105,74,45,25.14517635,81.38204104,6.098369122,Poor
102,71,48,28.65456263,79.28693687,5.695267822,Poor
94,91,51,29.16093424,76.67484233,5.618094446,Poor
116,71,47,27.57278064,82.0638878,6.435785799,Poor
117,79,49,25.40909896,82.36208097,6.176644228,Poor
119,72,55,25.99069521,83.33983116,6.220643671,Poor
99,73,53,26.29039046,81.06003778,5.871702211,Poor
91,84,52,29.14827211,78.71024836,6.390741836,Poor
80,90,47,26.59743595,79.35898915,6.21084479,Poor
101,70,48,25.36059237,75.03193255,6.012696655,Poor
108,89,53,29.12036889,80.18080728,5.908770059,Poor
100,80,52,27.53911354,77.25629897,6.049801781,Poor
109,91,53,29.66727337,83.51014178,6.010095853,Poor
82,78,46,25.05802193,84.97323747,5.738678895,Poor
106,70,55,25.86824781,78.52399914,5.74055541,Poor
90,86,52,25.85036988,81.95580471,5.793260262,Poor
83,95,50,26.51682337,77.79913575,5.50947065,Poor
119,90,48,28.66725136,79.59242542,5.986442306,Poor
107,72,45,28.14938935,81.54448882,5.790768046,Poor
116,81,55,26.42313317,83.6995044,5.915546415,Poor
101,75,50,26.59386409,81.40740301,6.242528278,Poor
93,81,50,27.71822477,76.57853189,6.036079266,Poor
95,75,45,28.98333432,82.95958244,5.829898502,Poor
107,71,55,29.42017919,83.96754496,6.088064451,Poor
83,94,47,27.39872329,81.10523402,6.469370954,Poor
102,73,54,26.4020227,84.41007614,5.720726906,Poor
86,79,45,27.81251452,82.69285419,5.80766417,Poor
117,86,53,25.19640218,83.55829874,5.703381728,Poor
111,79,53,28.31193338,75.77363772,6.165001278,Poor
95,74,50,25.90113128,80.47152737,6.002481605,Poor
91,75,55,27.48612983,76.11239849,6.212369363,Poor
93,83,46,29.38254012,83.50423735,5.765308943,Poor
92,85,51,29.22118628,81.08183635,5.740764682,Poor
104,80,54,27.09062164,81.33506906,5.879119455,Poor
103,72,51,26.12643374,81.81365007,6.099478745,Poor
92,75,45,29.01207743,77.95192527,5.674403359,Poor
93,85,49,27.96799119,79.28625709,5.694243847,Poor
120,87,52,28.0764455,76.05522115,5.905494703,Poor
108,72,46,25.16278237,84.97849241,6.110844721,Poor
105,88,54,25.78749808,84.51194224,6.020445317,Poor
98,79,50,25.34119774,84.47321314,6.435917308,Poor
111,88,55,29.44795403,78.34971537,5.505393833,Poor
97,74,45,26.47522633,78.51833782,5.677719902,Poor
95,82,48,27.39489579,83.31172003,5.719014989,Poor
89,91,55,25.08347445,80.261731,6.275572298,Poor
89,85,55,26.6719835,76.48541655,6.275384607,Poor
118,88,51,25.44926208,79.49221962,6.201911642,Poor
101,92,45,28.22776705,80.6430384,5.758054257,Poor
99,92,47,28.1279509,77.48247073,6.323933647,Poor
82,77,46,28.9470467,82.1888998,5.901100841,Poor
90,86,55,27.96236771,84.15403614,5.644486582,Poor
95,88,52,28.00316034,78.90085998,6.235461772,Poor
104,73,46,29.1400919,80.1190228,6.28236237,Poor
102,73,52,27.9122104,83.36307683,6.356090905,Poor
100,74,52,25.43480512,81.53977797,5.837258235,Poor
94,89,48,28.55980972,84.51602322,5.653437902,Poor
99,70,46,26.59580783,82.99556744,5.727469947,Poor
112,87,48,27.19711623,77.3970629,6.200111068,Poor
117,82,45,25.29391516,79.29122198,5.614471478,Poor
96,86,51,29.90888522,76.98740841,6.257369799,Poor
113,85,45,27.94972463,76.63713353,6.037430836,Poor
105,93,46,25.01018457,78.76260938,5.760457558,Poor
85,89,51,29.21144871,84.70189923,6.158164422,Poor
108,94,47,27.35911627,84.54625006,6.387431383,Poor
92,81,52,28.0106804,76.52808057,5.891413895,Poor
110,71,54,28.67208915,82.20793613,5.725418961,Poor
82,75,55,27.34585147,78.4873835,6.281069505,Poor
117,81,53,29.50704598,78.20585613,5.507641778,Poor
70,40,45,22.676,90.05447735,5.54,Moderate
70,40,45,14.6,78.6122313,5.5,Moderate
70,40,45,23.562,89.65477771,5.4,Moderate
70,40,45,18.92,67.84960363,5.46,Moderate
70,40,45,12.5,73.29266307,5.38,Moderate
70,40,45,22.676,90.06460508,5.56,Moderate
70,40,45,10.38,80.73737602,5.4,Moderate
70,40,45,22.28,82.09678248,5.34,Moderate
70,40,45,23.562,89.70084966,5.56,Moderate
70,40,45,10.38,80.70974773,5.36,Moderate
70,40,45,10.38,80.73737602,5.38,Moderate
70,40,45,23.562,89.65477771,5.42,Moderate
70,40,45,21.704,88.30880018,5.52,Moderate
70,40,45,22.676,89.87614841,5.36,Moderate
70,40,45,23.106,88.65504457,5.64,Moderate
70,40,45,22.676,90.05777295,5.5,Moderate
70,40,45,23.106,88.57883343,5.36,Moderate
70,40,45,22.676,90.05695517,5.64,Moderate
70,40,45,23.106,88.68051659,5.58,Moderate
70,40,45,22.766,89.46363982,5.62,Moderate
70,40,45,22.766,89.46363982,5.58,Moderate
70,40,45,21.704,88.21811248,5.38,Moderate
70,40,45,22.676,89.87614841,5.32,Moderate
70,40,45,14.6,79.32597643,5.58,Moderate
70,40,45,21.704,88.30880018,5.62,Moderate
70,40,45,23.106,88.65003663,5.62,Moderate
70,40,45,23.106,88.71438602,5.44,Moderate
70,40,45,28.64818182,83.25757931,5.32,Moderate
70,40,45,23.106,88.68051659,5.56,Moderate
70,40,45,23.106,88.71438602,5.42,Moderate
70,40,45,22.676,90.05777295,5.48,Moderate
70,40,45,20.312,68.58282719,5.5,Moderate
70,40,45,22.676,90.05075977,5.66,Moderate
70,40,45,22.676,90.04683842,5.68,Moderate
70,40,45,22.676,90.01170101,5.4,Moderate
70,40,45,14.6,79.04950474,5.56,Moderate
70,40,45,23.106,88.67236968,5.68,Moderate
70,40,45,18.92,67.83308168,5.34,Moderate
70,40,45,22.676,90.01170101,5.44,Moderate
70,40,45,23.562,89.70084966,5.54,Moderate
70,40,45,14.6,78.5932864,5.32,Moderate
70,40,45,22.676,90.01170101,5.42,Moderate
70,40,45,23.106,88.65003663,5.6,Moderate
70,40,45,14.6,79.54944674,5.68,Moderate
70,40,45,22.766,89.46363982,5.5,Moderate
70,40,45,28.64818182,83.29065165,5.36,Moderate
70,40,45,23.106,88.67911116,5.54,Moderate
70,40,45,23.106,88.68240676,5.5,Moderate
70,40,45,22.766,89.4282372,5.42,Moderate
70,40,45,22.766,89.46363982,5.68,Moderate
70,40,45,23.562,89.5356819,5.36,Moderate
70,40,45,23.562,89.70084966,5.52,Moderate
70,40,45,22.676,90.06460508,5.6,Moderate
70,40,45,21.704,88.30880018,5.66,Moderate
70,40,45,23.562,89.70084966,5.6,Moderate
70,40,45,22.676,90.05777295,5.52,Moderate
70,40,45,23.562,89.70084966,5.58,Moderate
70,40,45,23.106,88.67629102,5.66,Moderate
70,40,45,23.562,89.7020327,5.62,Moderate
70,40,45,10.38,81.45943804,5.6,Moderate
70,40,45,23.562,89.70084966,5.5,Moderate
70,40,45,22.766,89.36827964,5.38,Moderate
70,40,45,22.676,90.06460508,5.62,Moderate
70,40,45,22.766,89.46363982,5.52,Moderate
70,40,45,23.562,89.69415914,5.68,Moderate
70,40,45,23.106,88.71438602,5.46,Moderate
70,40,45,22.766,89.46363982,5.66,Moderate
70,40,45,22.38,83.03318206,5.64,Moderate
70,40,45,22.766,89.32272675,5.34,Moderate
70,40,45,23.106,88.56706626,5.32,Moderate
70,40,45,22.28,82.15370912,5.44,Moderate
70,40,45,22.766,89.32272675,5.32,Moderate
70,40,45,12.5,73.27614112,5.36,Moderate
70,40,45,23.106,88.63879099,5.38,Moderate
70,40,45,22.766,89.46363982,5.48,Moderate
70,40,45,23.106,88.57883343,5.34,Moderate
70,40,45,10.38,81.17712832,5.56,Moderate
70,40,45,23.562,89.70084966,5.48,Moderate
70,40,45,20.312,68.58282719,5.4,Moderate
70,40,45,22.28,82.07505597,5.38,Moderate
70,40,45,22.766,89.46363982,5.6,Moderate
70,40,45,22.676,89.87614841,5.34,Moderate
70,40,45,22.676,90.06460508,5.58,Moderate
70,40,45,10.38,81.67857168,5.64,Moderate
70,40,45,27.86666667,83.41313717,5.44,Moderate
70,40,45,22.766,89.4282372,5.46,Moderate
70,40,45,23.562,89.5356819,5.34,Moderate
70,40,45,22.766,89.46363982,5.64,Moderate
70,40,45,14.6,78.6122313,5.48,Moderate
70,40,45,14.6,78.6122313,5.38,Moderate
70,40,45,22.38,83.00711291,5.48,Moderate
70,40,45,22.28,82.15571152,5.48,Moderate
70,40,45,10.38,80.73943246,5.46,Moderate
70,40,45,25.81818182,84.4775545,5.56,Moderate
70,40,45,21.704,88.30880018,5.5,Moderate
70,40,45,14.6,79.54944674,5.66,Moderate
70,40,45,22.28,82.15370912,5.46,Moderate
70,40,45,28.64818182,83.69891343,5.66,Moderate
70,40,45,10.38,80.73943246,5.5,Moderate
70,40,45,18.92,67.84960363,5.44,Moderate
70,40,45,22.38,83.0051105,5.44,Moderate
70,40,45,20.312,68.58282719,5.38,Moderate
70,40,45,23.562,89.5356819,5.32,Moderate
70,40,45,22.766,89.46363982,5.56,Moderate
70,40,45,21.704,88.30880018,5.58,Moderate
70,40,45,25.81818182,84.48622196,5.68,Moderate
70,40,45,28.64818182,83.63124269,5.62,Moderate
70,40,45,28.64818182,83.63124269,5.58,Moderate
70,40,45,18.92,67.85495208,5.6,Moderate
70,40,45,14.7,80.57930812,5.42,Moderate
70,40,45,22.676,90.01170101,5.46,Moderate
70,40,45,22.766,89.46363982,5.54,Moderate
70,40,45,20.312,68.58282719,5.62,Moderate
70,40,45,23.106,88.71438602,5.4,Moderate
70,40,45,23.562,89.69646792,5.64,Moderate
70,40,45,10.38,80.70974773,5.34,Moderate
70,40,45,21.704,88.30880018,5.64,Moderate
70,40,45,22.38,82.95124198,5.34,Moderate
70,40,45,21.704,88.27938727,5.4,Moderate
70,40,45,23.562,89.59563946,5.38,Moderate
70,40,45,22.28,82.20068652,5.56,Moderate
70,40,45,28.64818182,83.37681445,5.46,Moderate
70,40,45,14.6,79.04950474,5.54,Moderate
70,40,45,12.5,73.29266307,5.42,Moderate
70,40,45,23.562,89.65477771,5.44,Moderate
70,40,45,10.38,81.45943804,5.58,Moderate
70,40,45,18.92,67.98640238,5.68,Moderate
70,40,45,22.676,89.93610597,5.38,Moderate
70,40,45,23.106,88.68240676,5.48,Moderate
70,40,45,25.81818182,84.17886669,5.36,Moderate
70,40,45,23.562,89.69646792,5.66,Moderate
70,40,45,14.7,80.55167983,5.36,Moderate
70,40,45,10.38,81.67857168,5.68,Moderate
70,40,45,10.38,81.17712832,5.54,Moderate
70,40,45,22.28,82.150651,5.42,Moderate
70,40,45,10.38,81.67975806,5.62,Moderate
70,40,45,10.38,80.73943246,5.48,Moderate
70,40,45,14.6,78.6122313,5.52,Moderate
70,40,45,22.28,82.17020656,5.62,Moderate
70,40,45,21.704,88.30880018,5.48,Moderate
70,40,45,23.562,89.65477771,5.46,Moderate
70,40,45,22.766,89.32272675,5.36,Moderate
70,40,45,14.6,79.54629646,5.62,Moderate
70,40,45,22.38,83.00406903,5.5,Moderate
70,40,45,22.38,82.99690275,5.6,Moderate
70,40,45,14.6,79.32597643,5.6,Moderate
70,40,45,20.312,68.5658676,5.36,Moderate
70,40,45,14.6,79.54944674,5.64,Moderate
70,40,45,10.38,80.73943246,5.44,Moderate
70,40,45,14.7,81.01898928,5.54,Moderate
70,40,45,21.704,88.27938727,5.46,Moderate
70,40,45,22.766,89.4282372,5.4,Moderate
70,40,45,23.106,88.68240676,5.52,Moderate
70,40,45,12.5,73.29266307,5.4,Moderate
70,40,45,14.6,78.5932864,5.36,Moderate
70,40,45,20.312,68.5658676,5.32,Moderate
70,40,45,12.5,73.29266307,5.46,Moderate
70,40,45,14.7,80.57930812,5.52,Moderate
70,40,45,14.6,78.6122313,5.42,Moderate
70,40,45,28.64818182,83.66603896,5.5,Moderate
70,40,45,22.38,83.00077343,5.54,Moderate
70,40,45,22.28,82.08871647,5.32,Moderate
70,40,45,14.7,81.301299,5.58,Moderate
70,40,45,21.704,88.1725596,5.32,Moderate
70,40,45,21.704,88.1725596,5.36,Moderate
70,40,45,18.92,67.84960363,5.52,Moderate
70,40,45,18.92,67.83308168,5.36,Moderate
70,40,45,28.64818182,83.31098355,5.38,Moderate
70,40,45,22.28,82.17407724,5.54,Moderate
70,40,45,22.38,83.04570622,5.66,Moderate
70,40,45,18.92,67.84960363,5.58,Moderate
70,40,45,21.704,88.30880018,5.6,Moderate
70,40,45,18.92,67.83640077,5.64,Moderate
70,40,45,14.7,80.57930812,5.4,Moderate
70,40,45,22.38,83.0273827,5.58,Moderate
70,40,45,18.58,73.17692819,5.34,Moderate
70,40,45,22.38,83.04512101,5.68,Moderate
70,40,45,18.58,73.19345014,5.44,Moderate
70,40,45,21.704,88.1725596,5.34,Moderate
70,40,45,14.7,80.55167983,5.34,Moderate
70,40,45,21.704,88.30880018,5.56,Moderate
70,40,45,18.92,67.84960363,5.54,Moderate
70,40,45,10.38,80.70974773,5.32,Moderate
70,40,45,12.5,73.29266307,5.52,Moderate
70,40,45,14.7,80.57930812,5.5,Moderate
70,40,45,21.704,88.27938727,5.44,Moderate
70,40,45,21.704,88.30880018,5.54,Moderate
70,40,45,20.312,68.5735965,5.64,Moderate
70,40,45,22.38,83.0051105,5.42,Moderate
70,40,45,20.312,68.5658676,5.34,Moderate
70,40,45,22.766,89.4282372,5.44,Moderate
70,40,45,21.704,88.27938727,5.42,Moderate
60,10,20,26.01818182,93.52453395,6.44,Moderate
60,10,20,27.90909091,93.42983983,6.32,Moderate
60,10,20,26.01818182,93.16189612,6.68,Moderate
60,10,20,27.90909091,93.01107957,6.58,Moderate
60,10,20,27.65454545,93.22157986,6.46,Moderate
60,10,20,26.01818182,93.16189612,6.66,Moderate
60,10,20,27.65454545,93.21619969,6.42,Moderate
60,10,20,27.65454545,92.83212947,6.62,Moderate
60,10,20,27.90909091,93.17083811,6.42,Moderate
56,79,15,29.48439992,63.19915325,7.454532137,Moderate
25,62,21,26.73433965,68.13999721,7.040056094,Moderate
42,61,22,26.27274407,62.28814857,7.418650668,Moderate
42,73,25,34.03679184,67.21113844,6.501869314,Moderate
44,58,18,28.03644051,65.06601664,6.814410928,Moderate
50,55,16,28.81460716,65.33538112,7.581442888,Moderate
35,72,21,34.03619494,64.28791388,7.741418772,Poor
30,64,20,33.8642935,61.57072498,6.573531614,Moderate
27,64,21,32.84213012,68.68401492,7.543804223,Poor
50,74,17,27.10053268,63.36085585,6.5408208,Moderate
39,73,24,25.65842532,61.18235808,7.22405917,Moderate
57,67,25,32.34744009,66.61452812,7.551364319,Moderate
52,63,19,29.58949031,68.32176769,6.928898659,Moderate
55,66,22,30.91219459,68.79427388,7.747775263,Moderate
51,56,18,28.12787838,64.2097765,6.706505915,Moderate
36,66,15,30.08545364,69.34811988,6.668238556,Moderate
59,55,19,31.74379487,62.51007687,7.332375138,Moderate
50,58,23,27.81326852,62.50460464,7.596802025,Moderate
30,65,25,32.88733849,64.59457409,7.70650895,Moderate
20,62,18,29.36358721,64.98742947,7.366542647,Moderate
58,71,15,27.82592799,67.5861883,6.919243702,Moderate
25,71,24,28.49538735,60.44848407,7.187721818,Moderate
52,71,16,27.74274761,68.53997144,7.075886472,Moderate
40,63,18,30.41588462,67.66323804,6.74441168,Moderate
20,60,25,27.3254209,69.09047809,6.726469088,Moderate
48,61,21,30.28496619,61.69295127,6.628264883,Moderate
49,68,22,28.56840626,61.53278622,7.127064207,Moderate
48,62,15,25.36586097,66.6379724,7.538631462,Moderate
32,66,17,34.9466155,65.26774011,7.162357641,Moderate
21,63,22,25.09737391,67.72837887,6.859409487,Moderate
20,72,19,32.47648301,64.34848735,7.397190844,Poor
25,65,21,33.86351172,68.59232289,6.880245789,Poor
41,78,21,25.19857725,60.37332688,6.581313137,Moderate
53,67,17,31.77681682,69.01852894,7.296972161,Moderate
39,60,21,34.89814946,63.59948557,6.97297656,Moderate
25,76,17,31.74105409,68.63525428,7.241148507,Poor
21,78,19,27.16159076,66.76017239,6.92009048,Moderate
57,60,17,26.23773129,67.88521396,7.504608385,Moderate
56,75,15,30.20157245,60.06534859,7.152272256,Moderate
49,72,15,31.55846339,67.83563765,7.137004749,Moderate
24,80,19,29.67892453,69.0854554,6.808041722,Moderate
49,76,18,27.05365239,67.7017527,7.393631868,Moderate
28,68,19,34.63880966,61.38597868,7.69950698,Poor
55,78,21,33.39438752,62.93692886,6.602888249,Moderate
50,64,25,28.84079155,63.37230676,6.734447425,Moderate
34,80,19,31.49338309,63.0563645,6.521217963,Moderate
20,68,23,25.54960633,63.95425534,7.707332484,Moderate
55,67,16,34.37329112,69.69366426,6.596719015,Moderate
23,70,15,34.6008247,63.11296779,7.403623355,Poor
53,74,15,29.43463808,64.94329356,7.517097,Moderate
26,67,16,29.10713092,67.90577375,7.17620823,Moderate
33,80,22,28.57006111,65.71765781,6.593961761,Moderate
37,79,19,27.54384835,69.3478631,7.143942758,Moderate
33,75,21,33.04687968,68.93875631,6.690655045,Moderate
22,55,20,33.95309131,69.96100028,7.423530351,Poor
20,68,17,30.11873003,60.11680815,6.578714843,Poor
43,68,20,29.57812712,66.17587668,7.497469256,Moderate
44,76,22,27.26458947,68.01232937,7.775306272,Moderate
34,60,16,31.35730791,64.24992106,7.322555223,Moderate
21,72,17,31.52104732,66.55723677,7.580527339,Poor
25,68,19,29.39982732,64.25510719,7.108450121,Moderate
41,62,15,29.38400259,64.14928485,7.358974541,Moderate
28,65,23,28.38686534,61.88871127,7.405176138,Moderate
35,64,15,28.47442276,63.53604453,6.500144962,Moderate
52,58,16,30.64095781,61.14508627,7.167435834,Moderate
58,75,25,25.25596239,61.36669662,7.261791753,Moderate
34,66,19,32.97030511,60.18122078,7.586642101,Poor
52,70,16,33.66855394,66.60416867,7.534811833,Moderate
23,57,19,32.83963757,67.99803573,7.251000789,Poor
42,58,25,27.45853567,62.90020977,6.513620918,Moderate
37,62,17,25.68576704,69.84354028,7.121254928,Moderate
44,75,22,30.0328403,64.14800537,7.574561547,Poor
21,80,20,28.20667264,68.27085245,7.350869792,Moderate
56,76,16,28.27265858,61.18956161,7.513151076,Moderate
29,76,15,28.5417236,64.2020154,7.025607706,Moderate
43,61,20,26.87187036,61.61367264,6.804253866,Moderate
55,60,15,32.79766751,68.77994074,7.163043872,Moderate
44,63,15,26.42333018,64.51136845,7.338929556,Moderate
29,67,21,29.79181107,63.38789228,6.621323612,Moderate
47,63,16,27.44003279,67.10464369,6.661870999,Moderate
40,68,17,34.1262979,65.14877461,7.733149554,Poor
58,61,15,30.94908189,64.23364112,7.402891666,Moderate
41,74,18,28.75751783,61.02701476,6.599147298,Moderate
58,79,17,27.24766491,66.10123083,7.04174124,Moderate
27,62,24,28.63005477,66.770943,7.353876754,Moderate
27,60,17,26.41768321,63.64698302,7.026795359,Moderate
52,65,20,32.81705216,66.15665137,6.814301033,Moderate
44,55,25,29.6321052,65.91359954,7.42160832,Moderate
21,62,24,33.49077065,62.73317204,6.847382891,Moderate
60,59,22,31.86847286,66.74217464,7.191522601,Moderate
33,77,21,30.32992227,65.62971858,7.01285529,Moderate
59,58,17,28.546224,66.31394098,7.368318809,Moderate
29,63,17,30.02629908,67.88811637,7.26154329,Poor
59,63,18,31.65531175,60.13263713,6.52669158,Moderate
29,70,15,30.33499674,63.54718862,6.872594461,Poor
58,73,16,33.36984395,65.67718163,6.874142175,Moderate
55,77,22,31.4345059,62.99303471,7.76061831,Moderate
42,79,23,27.71678273,63.29103387,6.781841984,Moderate
44,77,21,32.63918668,61.3009051,7.326980454,Moderate
38,62,25,32.7477393,67.77954584,7.453975408,Moderate
100,60,50,22.89090909,82.60500737,5.18,Poor
100,60,50,27.65454545,81.94052971,5.14,Poor
100,60,50,23.73636364,82.50360223,5.12,Poor
100,60,50,23.73636364,81.85618639,4.96,Poor
100,60,50,23.73636364,82.52523925,5.08,Poor
100,60,50,23.73636364,82.50360223,5.14,Poor
100,60,50,27.90909091,80.94730392,4.82,Poor
100,60,50,27.90909091,82.11292885,5.04,Poor
100,60,50,27.65454545,81.95432804,5.18,Poor
100,60,50,27.65454545,81.76723401,5.0,Poor
100,60,50,27.90909091,82.11860255,5.12,Poor
100,60,50,27.90909091,82.12233522,5.06,Poor
100,60,50,27.65454545,81.30107591,4.96,Poor
100,60,50,27.90909091,80.94730392,4.84,Poor
100,60,50,23.73636364,81.36721395,4.88,Poor
